Numer VIN,Model,Rok produkcji,Paliwo,Typ nadwozia,Przebieg,Kolor,Poj. silnika,Stan techniczny,Skrzynia biegów,Kraj pochodzenia,Moc silnika,Napęd,Kierownica,Cena,Lokalizacja,Województwo,Tytuł,Rodzaj ogłoszenia,Znalezione o,Link,ID,Producent,Opis,Czy cena do negocjacji
ZAR94000007031074,Giulietta,2011,Diesel,Hatchback,203670,Czarny,1598.0,Nieuszkodzony,Manualna,Niemcy,,Na przednie koła,po lewej,20900.0,Siedlce,Mazowieckie,Alfa Romeo Giulietta 1.6 JTD PRYwATne,Prywatne,2025-04-24 16:04:56.496877,https://www.olx.pl/d/oferta/alfa-romeo-giulietta-1-6-jtd-prywatne-CID5-ID15mqwI.html,995359638,Alfa Romeo,"Witam serdecznie sprzedam Alfę Romeo Giulietta z roku 2011 auto użytkowane przez kobiete w moim posiadaniu jest około 3 lat rok temu został wymieniony rozrząd wraz z klockami i tarczami oraz akumulator auto posiada również roczne opony zimowe przebieg auta to 203670. Auto nigdy mnie nie zawiodło. Miesiąc temu zostały wymienione oleje i filtry przegląd został zrobiony 10.04.2025
1.6jtd o mocy 105 koni
Zapraszam do obejrzenia oraz jazdę próbną. Okolice Siedlec. Więcej informacji na temat udzielenie pod nr tel 53*****89",True
W0LPD8E61F8073014,Astra,2015,Diesel,Kombi,167600,Srebrny,,Nieuszkodzony,Manualna,Polska,110.0,Na przednie koła,po lewej,25500.0,Niepołomice,Małopolskie,Opel Astra Opel Astra J 1.6cdti diesel 2015,Prywatne,2025-04-24 16:05:18.620335,https://www.olx.pl/d/oferta/opel-astra-opel-astra-j-1-6cdti-diesel-2015-CID5-ID14mr5Z.html,980585551,Opel,"Sprzedam Opel Astra J Sports Tourer 1.6 Diesel Eco FLEX combi
Samochód jest bogato wyposażony.
Serwisowany na bieżąco.
Moc silnika: 110 KM / 81 kW
Posiada hak. Skrzynia 6-cio biegowa. Świeżo wymienione filtry i oleje, tarcze hamulcowe przód, klocki przód, tył.
Przegląd do 6 czerwca 2025.
Ubezpieczenie do 14 czerwca 2025.",False
,Golf,2009,Benzyna,Hatchback,270000,Czarny,1400.0,Nieuszkodzony,Manualna,Polska,,Na przednie koła,po lewej,15900.0,Bukowiec,Kujawsko-pomorskie,VW Golf 6 1.4MPI NAVI bezwypadkowy nowy rozrząd opony stan bdb zamiana,Prywatne,2025-04-24 16:05:20.397460,https://www.olx.pl/d/oferta/vw-golf-6-1-4mpi-navi-bezwypadkowy-nowy-rozrzad-opony-stan-bdb-zamiana-CID5-ID15ujPc.html,997240562,Volkswagen,"Dzień dobry, mam na sprzedaż bardzo zadbanego VW Golfa z niezawodnym i oszczędnym motorem 1.4 MPI. W aucie miesiąc temu wymieniony kompletny rozrząd, olej oraz filtry. Motor pali na dotyk, Pracuje równo. Zawieszenie nie bije, bez luzów, sztywne. Blacharsko bardzo ładnie, korozji brak, lakier 100% oryginalny, bezwypadkowy. W aucie zostały założone 4 nowe opony Continental. Środek jak nowy. Nie pala się zadne kontrolki.
Nawigacja dotykowa
Wspomaganie kierownicy
El.szyby i lusterka
Klimatyzacja sprawna
Klimatyzowany schowek
Centralny zamek
Komp pokładowy
Isofix pod foteliki
Przyciemnione szyby
Hak holowniczy odpinany

Golfik bez wkładu finansowego, zapraszam. Możliwa zamiana.",True
WBAVW11040A276021,Seria 3,2008,Diesel,Kombi,390000,Czarny,2.0,Nieuszkodzony,Manualna,,,Na tylne koła,po lewej,11000.0,Warszawa Bemowo,Mazowieckie,BMW E91 Touring – 2.0 Diesel – 2008,Prywatne,2025-04-24 16:05:43.614357,https://www.olx.pl/d/oferta/bmw-e91-touring-2-0-diesel-2008-CID5-ID15wlF7.html,997485953,BMW,"Na sprzedaż oferuję BMW E91 Touring z niezawodnym silnikiem diesla 2.0 i manualną skrzynią biegów. Auto z 2008 roku, aktualny przebieg: 390 000 km.

Dane techniczne:
– Rok produkcji: 2008
– Silnik: 2.0 Diesel
– Przebieg: 390 000 km
– Skrzynia biegów: manualna
– Napęd: na tylne koła
– Kolor: czarny

Wyposażenie:
– Klimatyzacja 2-strefowa
– Podgrzewane fotele
– Podgrzewane lusterka
– Składane lusterka
– Czujnik deszczu
– Automatyczne światła
– System Start-Stop
– Czujniki parkowania Przud i Tyl

Auto w dobrym stanie technicznym i wizualnym. Gotowe do jazdy. Cena: 11 000 zł (do lekkiej negocjacji).

Zapraszam do kontaktu i oględzin!",False
,Logan Van,2008,LPG,Kombi,201,Czerwony,1400.0,Uszkodzony,Manualna,Polska,75.0,Na przednie koła,po lewej,2499.0,Konstantynów Łódzki,Łódzkie,Dacia Logan Kombi 1.4 gaz uszkodzona,Prywatne,2025-04-24 16:05:52.501254,https://www.olx.pl/d/oferta/dacia-logan-kombi-1-4-gaz-uszkodzona-CID5-ID15ua0a.html,997202802,Dacia,"Oferta ważna do 30.04.25 później dostępne wszystkie części z tego auta . CENA NIE PODLEGA JUŻ NEGOCJACJI .Auto wystawiam jako uszkodzone , mianowicie zagotowała się i teraz kopci na zimnym i kuleje również na zimnym jak złapie temperatury jest lepiej .
A teraz o aucie . Salon Polska , 201 tys przebiegu , korozja jest , wspomaganie jest , elektryczne szyby przód są . A tak poza tym to auto było u mnie wykorzystywane jako robocze więc posprzątać sobie trzeba .
Wiem mam swiadomość jest uszkodzone i nie jest ładne bo ma korozję ale za tysiąc złotych jej nie oddam .
Jeśli widzisz potencjał , bądź czujesz że sam sobie naprawisz zapraszam bo to strasznie wdzięczne auta są a przede wszystkim pakowne .
Jeśli obawiasz się że po zakupie nie dojedziesz do domu możemy zapakować na moją lawetę i zawieść , w.rozliczeniu mogę również przyjąć auto do zezłmowania .
Więcej info na telefon",False
,e-tron GT,2024,Elektryczny,Sedan,19350,Czerwony,,Nieuszkodzony,Automatyczna,Polska,650.0,4x4 (dołączany automatycznie),po lewej,484975.0,Kraków Prądnik Czerwony,Małopolskie,Audi E-tron GT RS 2024r. Cesja Leasingu,Prywatne,2025-04-24 16:06:02.855772,https://www.olx.pl/d/oferta/audi-e-tron-gt-rs-2024r-cesja-leasingu-CID5-ID15f6z8.html,993614674,Audi,"Sprzedam na zasadzie cesji leasingu Audi e-tron GT RS 2024r
Stan idealny

Odstępne 50000 brutto

Pozostało 65 rat - 6615 brutto

Wykup - 5000 brutto

Więcej informacji udzielę telefonicznie",True
SJNFCAF15U7017251,Juke,2014,Diesel,Hatchback,125000,Biały,1.0,Nieuszkodzony,Manualna,Francja,110.0,Na przednie koła,po lewej,33000.0,Świlcza,Podkarpackie,Sprzedam Nissan Juke,Prywatne,2025-04-24 16:06:21.767385,https://www.olx.pl/d/oferta/sprzedam-nissan-juke-CID5-ID151JSq.html,990429194,Nissan,"Witam mam do sprzedania Nissana Juke w dizlu 1,5 rok 2014 Przebieg 125000 km wymieniony rozrząd przy 123000 km ubezpieczenje do listopada przegląd zrobiōny 18-03-2025 posiada hak oraz komplet kuł zapasowych",False
,A6,2018,Diesel,Kombi,210000,Czarny,3000.0,Nieuszkodzony,Automatyczna,Włochy,,4x4 (stały),po lewej,47500.0,Tarnów,Małopolskie,Audi A6 3.0tdi Lift Posiadam inne auta z włoch,Prywatne,2025-04-24 16:06:24.846586,https://www.olx.pl/d/oferta/audi-a6-3-0tdi-lift-posiadam-inne-auta-z-wloch-CID5-ID156Tca.html,991656654,Audi,"Samochód jak na zdjeciach 2018 3.0tdi jeden własciciel 2 kluczyki

Auto do opłat w kraju, akcyza i inne koszta po stronie kupującego.Posiadam dużo innych aut całych jak i uszkodzonych transport każdego auta z włoch 1600zł Auto mogę dostarczyć w okolice krakowa , tychy,okolice tarnowa lub inne miasta w Polsce. Jak kogoś interesuje jakieś auto to proszę dzwonić. NIE ODPISUJE NA SMS i POPRZEZ OLX kontakt tylko telefoniczny!
Tel + 3 9 3 2 7 0 1 9 9 8 7 7 aby sie dodzwonić wybierz numer z plusem",False
,Yaris,2015,Diesel,Sedan,104000,Biały,1400.0,Nieuszkodzony,Manualna,Polska,,,,32900.0,Jabłonna,Mazowieckie,"Toyota Yaris 1,4D 2015",Prywatne,2025-04-24 16:06:35.356117,https://www.olx.pl/d/oferta/toyota-yaris-1-4d-2015-CID5-ID15ifkZ.html,994363377,Toyota,"Salon Polska, jestem drugim użytkownikiem od 2021 roku, Atutem tego samochodu jest spalanie na poziomie 4,5. Bezawaryjny, systematycznie poddawany przeglądom. Przy zderzaku brakuje lakieru, fotka załączona. Przegląd techniczny do 18.06.2025. Polecam !!!",True
,Seria 3,2000,LPG,Coupe,300000,Inny kolor,1900.0,Nieuszkodzony,Manualna,,,Na przednie koła,po lewej,5490.0,Ożarów Mazowiecki,Mazowieckie,Autokomis TopCar! Bmw e46 Coupe M-pakiet z vinu/1.9 Lpg/Bdstan/Polecam,Firmowe,2025-04-24 16:06:55.211299,https://www.olx.pl/d/oferta/autokomis-topcar-bmw-e46-coupe-m-pakiet-z-vinu-1-9-lpg-bdstan-polecam-CID5-ID15hvik.html,994190232,BMW,"Autokomis TopCar Ul. Poznańska 308 Ożarów Mazowiecki

MOŻLIWOŚĆ ZOSTAWIENIA
AUTA W ROZLICZENIU !

TAK ŻE OFERUJEMY USŁUGĘ DOSTARCZENIA AUTA POD DOM

Witam wszystkich, na sprzedaż leci piękna i niezawodna Bmw e46 Coupe wyprodukowana w 2000 Roku z najlepszym niezawodnym silnikiem 1.9 Benzyna+Lpg sekwencja, autko jest zadbane i serwisowane zawsze na czas w tej chwili jest w 100% sprawne i nie potrzebuje wkładu finansowego, OC i PT jest aktualne tak że śmiało można wracać na kołach

Z wyposażenia to:

- Elektryczne 4 szyby
- centralny zamek
- podgrzewana tylna szyba
- System ABS + EBD + EBA
- wspomaganie kierownicy
- Elektroniczny zegar
- Elektroniczny termometr temp zewnetrznej
- Kierownica regulowana w dwoch plazczyznach
- Reczna regulacja wysokosci reflektorow
- podgrzewane lusterka
- sterowanie radiem z kierownicy
- elektrycznie sterowane szyby (przod+tyl)
- klimatronik

Autko jest w dobrym stanie zadbane i bardzo przyjemne w użytkowaniu

CHĘTNIE ZAMIENIMY!

RÓWNIEŻ SKUPUJEMY AUTA ZA GOTÓWKĘ !

Zapraszamy na oglądanie i jazdę próbną

Adres ul. Poznańska 308, Ożarów Mazowiecki

Otwarte jest 7 Dni w tygodni

W dni świąteczne również pracujemy

Od 10:00 do 20:00

Wystawiam fakturę VAT-MARŻA, kupujący jest zwolniony z opłaty skarbowej!

Niniejsze ogłoszenie jest wyłącznie informacją handlową i nie stanowi oferty w myśl art. 66, §1.Kodeksu Cywilnego. Sprzedający nie odpowiada za ewentualne błędy lub nieaktualność ogłoszenia.",True
,Corsa,2012,Benzyna,Hatchback,139000,Inny kolor,1200.0,Nieuszkodzony,Manualna,,,Na przednie koła,po lewej,11300.0,Bielsk Podlaski,Podlaskie,Opel Corsa D 2012r 1.2 benzyna. Tylko 139 000 tys przebiegu,Prywatne,2025-04-24 16:07:19.634235,https://www.olx.pl/d/oferta/opel-corsa-d-2012r-1-2-benzyna-tylko-139-000-tys-przebiegu-CID5-ID15hb86.html,994108874,Opel,"Sprzedam 0PEL CORSA d
Posiadam auto od 6 lat i jestem pierwszym właścicielem w kraju i drugim od nowosci
Stan techniczny auta bdb
Wizualny również

Centralny zamek z pilota

Elektryczne ster. Lusterka

Podgrzewane siedzenia
przednie

Hak

Dwa komplety kół

Silnik,skrzynia biegów sprzęgło hamulce i inne podzespoły sprawne 100 procent

Przegląd i ubezpieczenie do lipca 2025
Bez KLIMATYZACJJ
Dla mnie to nie przeszkadzało jeżdżąc po zakupy do sklepu bo i tak klima nie zdążyła by wychłodzić auta
Zapraszam do obejrzenia i kupna ,na pewno warto
Więcej informacji tel
5*0*6*2*7*5 9*5*8",True
,Mondeo,2008,Diesel,Hatchback,294000,Czarny,,Nieuszkodzony,Manualna,,140.0,Na przednie koła,po lewej,19000.0,Grajewo,Podlaskie,Ford Mondeo MK4 2.0 TDCI,Prywatne,2025-04-24 16:07:27.717090,https://www.olx.pl/d/oferta/ford-mondeo-mk4-2-0-tdci-CID5-ID14MJur.html,986852787,Ford,"Sprzedam Forda Mondeo MK4 z 2008r z silnikiem 2.0 tdci o mocy 140km, skrzynia manualna 6 biegowa.
Samochód w bardzo dobrym stanie z oryginalnym przebiegiem i bardzo dobrym wyposażeniem, wnętrze wygodne i zadbane. Ford na chwilę obecną bez wkładu finansowego.
Auto stoi na 17 calowych alufelgach z oponami wielosezonowymi.
Olej z filtrami był wymieniany 4 tys kilometrów temu i rok temu został wymieniony rozrząd.
W czasie mojego posiadania został też wymieniony alternator, tarcze i klocki tył, wtryski, akumulator i sprzęglo.
Ubezpieczenie do lipca 2025, a przegląd do sierpnia 2025.
Cena do negocjacji.
Więcej informacji telefonicznie.",True
,Clio,2016,Diesel,Kombi,240000,Czerwony,1500.0,Nieuszkodzony,Manualna,Niemcy,,,po lewej,25700.0,Warszawa Wilanów,Mazowieckie,Renault Clio Nawi,Prywatne,2025-04-24 16:07:46.290210,https://www.olx.pl/d/oferta/renault-clio-nawi-CID5-ID15hm4a.html,994150914,Renault,"Do sprzedania moje prywatne auto , samochodem wróciłem do Polski i jest do sprzedania , silnik 1500dci , spalanie około 4.5 l polecam , samochód stoi w Miasteczko Wilanów",False
,Mondeo,2009,Diesel,Kombi,399,Czarny,1998.0,Nieuszkodzony,Manualna,Polska,140.0,,po lewej,9900.0,Bielsko-Biała,Śląskie,Sprzedam Ford Mondeo Rom 2009 Po lifcie 2.0 Cm 140 KW 6 Skrzynie Biegu,Firmowe,2025-04-24 16:07:52.354996,https://www.olx.pl/d/oferta/sprzedam-ford-mondeo-rom-2009-po-lifcie-2-0-cm-140-kw-6-skrzynie-biegu-CID5-ID15mzVz.html,995395899,Ford,"Sprzedam Ford Mondeo Rom 2009 Po lifcie 2.0 Cm 140 KW Po Regeneracji Turbina oraz wtryski Dużo Do inwestowano do auta Turbina po regeneracji oleje filtry rozrząd tarczę Klocki całe hamulce po wymianie jak najbardziej gotowe Do Eksploatacji których niestety nie posiadam z uwagi na zakup nowego samochodu….
Wyposażenie:
ABS
ESP
Air-bag x 7
ISO-fix
Klimatronik 2 strefowy
Wspomaganie kierownicy
Regulacja kierownicy w dwóch płaszczyznach
Regulacja wysokości fotela kierowcy
Centralny zamek
Czujniki parkowania tylne
Elektryczne szyby x 4
Elektryczne lusterka
Podłokietnik
Komputer pokładowy
System bezkluczykowy Keyless go
Tempomat
Relingi dachowe
Roleta bagażnika
Alufelgi
Pakiet Chrom
Dwa oryginalne klucze
Teczka z kompletną dokumentacją
OC do 01.11.2025
Przegląd do 03.09.2025",True
,Zafira,2000,Benzyna,Minivan,383110,Niebieski,1796.0,Nieuszkodzony,Manualna,,,Na przednie koła,po lewej,3500.0,Janów Lubelski,Lubelskie,Opel zefira 1.8 b,Prywatne,2025-04-24 16:07:58.944072,https://www.olx.pl/d/oferta/opel-zefira-1-8-b-CID5-ID15tHUC.html,997094826,Opel,Dzień dobry mam na sprzedaż opla zefira 1.8 benzyna z uszkodzoną skrzynią nie działa piątka a tak poza tym wszystko w porządku. Jeździ skręca hamuje do poprawek lakierniczych,False
,Passat,2011,Diesel,Kombi,372000,Czarny,1600.0,Nieuszkodzony,Manualna,,,,,19999.0,Bolków,Dolnośląskie,Zamiana'Passat B7'Nawi'Kamera'WentylSkóra'6bieg'Alus'StartStop'Serwis,Prywatne,2025-04-24 16:16:44.441751,https://www.olx.pl/d/oferta/zamianapassat-b7nawikamerawentylskora6biegalusstartstopserwis-CID5-ID15sq2n.html,996787787,Volkswagen,"Witam:)
Zamienię/Sprzedam V.W. Passata B7 z 2011roku,ma ważne opaty do 20.12.2025r,bardzo ekonomiczny silnik,jeździ bardzo dobrze nic nie stuka nie puka ,środek zadbny czysty pachnący,dobrze wyposażony klima,nawi,kamer,start stop,doświetlanie zakrętów,tempomat,komputer pokładowy,alufelgi,ledy,itd. Możliwa jest zamiana na jakiś inny samochód z możliwością dopłaty w dwie strony (może być coś tam uszkodzony do jakiś napraw)osobowy suv bus wywrotka multivan camper chłodnia coś w teren 4x4 offroud zmota food truck imbis laweta quad cross itp. Więcej informacji na telefon",True
,Espace,2016,Diesel,Kombi,39000,Inny kolor,,Nieuszkodzony,Automatyczna,Francja,,,po lewej,22500.0,Zamość,Lubelskie,Renault Espase IniTiale,Prywatne,2025-04-24 16:17:22.462727,https://www.olx.pl/d/oferta/renault-espase-initiale-CID5-ID159Bcl.html,992302457,Renault,"Renault Espace IniTiale 2016. Na liczniku 177 tys. ale prawdziwy przebieg to 39 tys. Nowy silnik został wymieniony na Renault we Francji. Samochód jest w dobrym stanie, odpala i działa bardzo dobrze. Dwa klucze. Jesteśmy niedaleko Zamościa.",False
,Focus,2002,Benzyna,Hatchback,230000,Szary,1600.0,Nieuszkodzony,Manualna,,,Na przednie koła,po lewej,1890.0,Warszawa Włochy,Mazowieckie,Na sprzedaż Ford Focus/1.6b/bogate wyposażenie/dobry stan/Wielkanoc ot,Firmowe,2025-04-24 16:17:32.540041,https://www.olx.pl/d/oferta/na-sprzedaz-ford-focus-1-6b-bogate-wyposazenie-dobry-stan-wielkanoc-ot-CID5-ID15tzYZ.html,997064345,Ford,"Samochód zarejestrowany w kraju

Oferujemy usluge dostarczenie auta pod dom.

Przyjmujemy auto w rozliczeniu !!!

Możliwość kupienia samochodu w systemie ratalnym.

Witam, posiadamy na sprzedaż piękny i niezawodny Ford focus z najlepszym niezawodnym silnikiem 1.6bendzyna . Stan auta oceniam na bardzo dobry, ostatnio wymienione oleje oraz filtry, klocki. zawieszenie w bardzo dobrym stanie.

Na wyposażeniu auta:
- wspomaganie kierownicy
- elektryczne szyby
- klimatyzacja
- centralny zamek z pilota
- radio

Blacharsko jak widać na zdjęciach w dość dobrym stanie.
Opłaty ważne
OC Ważne
PT Ważne

Zapraszamy do oględzin oraz jazdę próbną.

Chętnie zamienimy!

Zapraszamy na Ryżowa 4, Warszawa.

Przed przyjazdem zadzwon, zapytaj o dostepnosc wybranego auta !

Przyjmiemy Twoje auto w rozliczeniu!

Wystawiamy Fakture VAT MARZA - Jestescie Panstwo zwolnieni z oplaty skarbowej 2% :) !

Godziny otwarcia

Codziennie od 10 do 20

Niniejsze ogłoszenie nie stanowi oferty ani zapewnienia, w szczególności rozumieniu art. 66 § 1 i art. 556 indeks 1 Kodeksu cywilnego. Zastrzegamy sobie prawo do doprecyzowania oraz korekt omyłek.",True
,Polo,2017,Benzyna,Hatchback,118000,Niebieski,998.0,Nieuszkodzony,Manualna,,,Na przednie koła,po lewej,27900.0,Kruszwica,Kujawsko-pomorskie,"Vw Polo 1.0 mpi ekonomiczny, z Belgii od 1 wlasciciela",Prywatne,2025-04-24 16:18:30.883221,https://www.olx.pl/d/oferta/vw-polo-1-0-mpi-ekonomiczny-z-belgii-od-1-wlasciciela-CID5-ID15usNw.html,997275053,Volkswagen,"Na sprzedaż Volkswagen Polo z 2017 roku z silnikiem o pojemności 1.0, auto pół roku temu sprowadzone od pierwszego właściciela z Belgii, opłaty ważne do października, klima po serwisie, świeżo wymienione oleje i filtry. Auto godne polecenia.",False
,ML Klasa,1999,LPG,SUV,421000,Srebrny,3200.0,Nieuszkodzony,Automatyczna,,,4x4 (stały),po lewej,12500.0,Kraków Prądnik Biały,Małopolskie,Mercedes-Benz ML320 W163 3.2 Benzyna+LPG automat,Firmowe,2025-04-24 16:19:01.980283,https://www.olx.pl/d/oferta/mercedes-benz-ml320-w163-3-2-benzyna-lpg-automat-CID5-ID15fxbW.html,993717023,Mercedes-Benz,"Witam, posiadam do sprzedania Mercedes-Benz ML320 W163 z silnikiem 3.2 Benzyna+LPG i automatyczną skrzynią biegów. Auto pochodzi z 1999r produkcji. Silnik pali za pierwszym razem, chodzi na obu paliwach. Skrzynia działa jak należy, napędy sprawne. Zawieszenie nie wybite. Wizualnie jak na zdjęciach.

Wyposażenie:
Elektryczne szyby
Elektryczne lusterka
Skórzane fotele
Podgrzewane fotele
Elektrycznie ustawiane fotele
Klimatyzacja
Zamek centralny z pilotem
Wspomaganie kierownicy
Radio
Alufelgi
Hak

Przebieg 421 tys. km.

Do samochodu komplet dokumentów
2 kluczy

OC 12.10.25
PT 12.09.25
Legalizacja butli LPG 2033r

Cena 12500 zł do negocjacji przy aucie

Kupujący zwolniony z opłaty skarbowej 2%

Możliwość pozostawienia auta w rozliczeniu

Skupujemy auta wszystkich marek w każdym stanie

Zapraszam do obejrzenia i jazdy próbnej w Krakowie!",True
,Seria 3,2003,Benzyna,Kabriolet,1,Inny kolor,1995.0,Nieuszkodzony,Manualna,Niemcy,143.0,,,15700.0,Głogów,Dolnośląskie,BMW E46 Cabrio 2.0 Benzyna 2004r,Firmowe,2025-04-24 16:19:15.756736,https://www.olx.pl/d/oferta/bmw-e46-cabrio-2-0-benzyna-2004r-CID5-ID12VI7n.html,959678121,BMW,"BMW E46 Cabrio 2003/4r 2.0 Benzyna. Auto jezdne, silnik pracuje równo jednak sporadyczne dymi na biało. Więcej informacji udzielam tel. Nie interesuje mnie żadna dziwna zamiana tylko i wyłącznie sprzedaż.",False
,A4,2006,Benzyna,Kombi,230,Czarny,1800.0,Nieuszkodzony,Manualna,,163.0,,,12999.0,Gorzów Wielkopolski,Lubuskie,Audi a4 1.8 turbo,Prywatne,2025-04-24 16:19:51.292103,https://www.olx.pl/d/oferta/audi-a4-1-8-turbo-CID5-ID15tUQS.html,997144566,Audi,"Sprzedam audi a4 zarejestrowane w Polsce i ubezpieczone.

Wyposażenie
Klimatyzacja sprawna
4 x elektryczne szyby
Nawigacja
Podgrzewane fotele
Dobre nagłośnienie
Dwa kluczyki itp
Więcej informacji olx lub telefonicznie.
Na dzień dzisiejszy nie wymaga napraw .
Zapraszam na jazdę próbną",True
,Townstar,2023,Elektryczny,Kombi,1500,Biały,,Nieuszkodzony,Automatyczna,Francja,,,po lewej,93000.0,Wysoka Lelowska,Śląskie,Nisan Townstar ZE,Prywatne,2025-04-24 16:20:43.702159,https://www.olx.pl/d/oferta/nisan-townstar-ze-CID5-ID15uJUI.html,997340848,Nissan,"Witam, samochód sprowadzony z Francji, pierwsza rejestracja 08.12.2023, aktualny przebieg 1500 km, nówka sztuka, bateria 44 kW, zasięg 270 km, pompa ciepła, lampy LED, dwa kluczyki, ubezpieczenie do 03.2026, zapraszam do oględzin i ewentualnego zakupu.",True
,Superb,2009,Diesel,Sedan,344800,Czarny,,Nieuszkodzony,Automatyczna,,170.0,Na przednie koła,,12300.0,Skarżysko-Kamienna,Świętokrzyskie,"Skoda superb II 170kM skrzynia DSG ,ksenony skrętny ,skóry ,polecam",Prywatne,2025-04-24 16:21:09.562868,https://www.olx.pl/d/oferta/skoda-superb-ii-170km-skrzynia-dsg-ksenony-skretny-skory-polecam-CID5-ID150MKv.html,990201908,Skoda,"Przedmiotem sprzedaży jest flagowy model Skody Skoda superb 2 drugiej generacji wyposażona w niezawodny silnik 2.0 170kM w połączeniu z automatyczną niezawodną skrzynią DSG daje nam ogromne komfort jazdy i oszczędne spalanie. Ubezpieczenie na pół roku przegląd 10 m-cy Bardo bogate wyposażenie czterostrefowy clinatronic ,grzane siedzenia ,ksenon skrętny ,czujniki deszczu zmierzchu, klapa dzielona otwierana jak hatchback oraz jak sedan .
Skoda technicznie jest sprawna gotowa do jazdy do poprawy blotnik ,wnętrze
więcej informacji telefon",False
,Land Cruiser,1989,Diesel,Terenowy,92300,Zielony,3000.0,Nieuszkodzony,Manualna,Polska,155.0,4x4 (dołączany ręcznie),po prawej,55000.0,Legnica,Dolnośląskie,Toyota LJ- KZJ 70,Firmowe,2025-04-24 16:21:31.413967,https://www.olx.pl/d/oferta/toyota-lj-kzj-70-CID5-IDUHJuS.html,837897814,Toyota,"Do sprzedania legendarna Toyota LJ70 z silnikiem i napędem z KZJ 3,0 TD, moc silnika 150KM turbina hybryda, wydech przerobiony, chłodzenie OM, mosty przód blokada ARB + półosie z przegubem Longfield, most tył blokada ARB + tarcze hamulec, LIFT zawieszenia 4,5"", amortyzatory Bilstein, sprężarka Bosch z butlą, mosty nadciśnieniowe, progi rurowe mocowane do ramy pod hi lifta, Koła 35""x10,5x16 Silverston ET-35, snorkel, CB radio, wciągarka SuperWinch 9500 lina syntetyk 28m, bateria Optima 75Ah, fotele przód Recaro kubełki, dodatkowy komplet kół AT -BF, listwa dachowa z halogenami przód, zderzak z obrysem przód i inne części od auta. Samochód po wymianach olejów.
Stan techniczny i wizualny b.dobry -zapraszam na jazdę próbną.",False
